codigo_ocorrencia;ocorrencia_classificacao;ocorrencia_cidade;ocorrencia_uf;ocorrencia_pais;ocorrencia_aerodromo;ocorrencia_dia;ocorrencia_hora;total_recomendacoes
52242;INCIDENTE;PORTO ALEGRE;RS;BRASIL;SBPA;05/01/2012;20:27:00;0
45331;ACIDENTE;GUARULHOS;SP;BRASIL;SBGR;06/01/2012;13:44:00;3
45333;ACIDENTE;VIAMÃO;RS;BRASIL;;06/01/2012;13:00:00;0
45401;ACIDENTE;SÃO SEBASTIÃO;SP;BRASIL;;06/01/2012;17:00:00;0
45407;ACIDENTE;SÃO SEPÉ;RS;BRASIL;;06/01/2012;16:30:00;0
52243;INCIDENTE;UBATUBA;SP;BRASIL;;06/01/2012;14:30:00;0
50713;INCIDENTE GRAVE;CAMPINAS;SP;BRASIL;SDAI;07/01/2012;18:15:00;0
45334;INCIDENTE;BELÉM;PA;BRASIL;SBBE;08/01/2012;19:12:00;0
45391;ACIDENTE;CONCEIÇÃO DAS ALAGOAS;MG;BRASIL;;08/01/2012;16:00:00;0
52244;INCIDENTE;UBERLÂNDIA;MG;BRASIL;SBUL;08/01/2012;22:13:00;0
45332;ACIDENTE;VIAMÃO;RS;BRASIL;;09/01/2012;13:30:00;0
52245;INCIDENTE;PORTO ALEGRE;RS;BRASIL;SBPA;09/01/2012;13:36:00;0
45396;INCIDENTE GRAVE;MARABÁ;PA;BRASIL;SBMA;11/01/2012;11:21:00;0
45408;ACIDENTE;ELDORADO;SP;BRASIL;;11/01/2012;13:45:00;1
45447;INCIDENTE;RIO BRANCO;AC;BRASIL;;13/01/2012;18:15:00;0
45409;ACIDENTE;CÁCERES;MT;BRASIL;;14/01/2012;10:00:00;0
45693;INCIDENTE;MACAÉ;RJ;BRASIL;;14/01/2012;10:30:00;0
52246;INCIDENTE;BRASÍLIA;DF;BRASIL;SBBR;16/01/2012;16:47:00;0
50714;INCIDENTE GRAVE;CAMOCIM;CE;BRASIL;SNWC;17/01/2012;18:25:00;0
45399;INCIDENTE GRAVE;MUANÁ;PA;BRASIL;;18/01/2012;17:35:00;0
52247;INCIDENTE;BELO HORIZONTE;MG;BRASIL;SBPR;18/01/2012;13:10:00;0
45392;ACIDENTE;BRASÍLIA;DF;BRASIL;;19/01/2012;21:30:00;2
45390;ACIDENTE;CACHOEIRA DOURADA;GO;BRASIL;;20/01/2012;21:00:00;0
45405;INCIDENTE;CUIABÁ;MT;BRASIL;;20/01/2012;08:00:00;0
45582;INCIDENTE GRAVE;RONDONÓPOLIS;MT;BRASIL;SWRD;20/01/2012;17:00:00;0
45400;INCIDENTE GRAVE;BRASÍLIA;DF;BRASIL;SBBR;21/01/2012;14:50:00;4
